=================================================================
# Hyperparameter Tuning Run  --  2026-05-25 01:42:32.935485
# Sweep: alpha / gamma / softmax_lambda
# Reward shaping: locked to defaults
# Configs total: 10  |  To run: 10  |  Skipped (done): 0
# Training battles per config : 8000
# Eval battles per config     : 500
=================================================================

>>> Config 1/10: baseline

=================================================================
[baseline]  alpha=0.1  gamma=0.95  lambda=1.0
  reward shaping: locked to defaults {'k_d': 40.0, 'k_t': 30.0, 'KO_bonus': 20.0, 'faint_penalty': 20.0, 'status_bonus': 5.0, 'time_penalty': 0.1, 'w_hp': 1.0, 'w_alive': 8.0, 'w_type': 2.0}
=================================================================
  [TRAIN] Starting 8000 battles...
    [ 1200/8000]  win=81.3%  states=6831  t=149s
    [ 1300/8000]  win=81.4%  states=7005  t=158s
    [ 1400/8000]  win=81.1%  states=7158  t=167s
    [ 1500/8000]  win=81.1%  states=7308  t=177s
    [ 1600/8000]  win=81.3%  states=7430  t=187s
    [ 1700/8000]  win=81.0%  states=7572  t=196s
    [ 1800/8000]  win=81.2%  states=7711  t=206s
    [ 1900/8000]  win=81.0%  states=7854  t=217s
    [ 2000/8000]  win=81.0%  states=7933  t=227s
    [ 2100/8000]  win=80.9%  states=8026  t=237s
    [ 2200/8000]  win=80.8%  states=8107  t=247s
    [ 2300/8000]  win=81.0%  states=8192  t=257s
    [ 2400/8000]  win=81.1%  states=8286  t=267s
    [ 2500/8000]  win=81.3%  states=8365  t=277s
    [ 2600/8000]  win=81.5%  states=8430  t=286s
    [ 2700/8000]  win=81.5%  states=8526  t=296s
    [ 2800/8000]  win=81.7%  states=8583  t=310s
    [ 2900/8000]  win=81.7%  states=8643  t=321s
    [ 3000/8000]  win=81.8%  states=8706  t=330s
    [ 3100/8000]  win=81.7%  states=8757  t=340s
    [ 3200/8000]  win=81.7%  states=8803  t=350s
    [ 3300/8000]  win=81.5%  states=8862  t=359s
    [ 3400/8000]  win=81.7%  states=8912  t=369s
    [ 3500/8000]  win=81.6%  states=8951  t=380s
    [ 3600/8000]  win=81.7%  states=8985  t=389s
    [ 3700/8000]  win=81.6%  states=9028  t=399s
    [ 3800/8000]  win=81.5%  states=9078  t=410s
    [ 3900/8000]  win=81.6%  states=9111  t=421s
    [ 4000/8000]  win=81.6%  states=9151  t=430s
    [ 4100/8000]  win=81.8%  states=9188  t=440s
    [ 4200/8000]  win=81.8%  states=9221  t=449s
    [ 4300/8000]  win=82.0%  states=9243  t=458s
    [ 4400/8000]  win=81.9%  states=9285  t=467s
    [ 4500/8000]  win=81.9%  states=9321  t=480s
    [ 4600/8000]  win=82.0%  states=9350  t=489s
    [ 4700/8000]  win=82.1%  states=9378  t=499s
    [ 4800/8000]  win=82.1%  states=9406  t=509s
    [ 4900/8000]  win=82.2%  states=9434  t=519s
    [ 5000/8000]  win=82.4%  states=9468  t=529s
    [ 5100/8000]  win=82.4%  states=9490  t=538s
    [ 5200/8000]  win=82.4%  states=9505  t=548s
    [ 5300/8000]  win=82.4%  states=9530  t=558s
    [ 5400/8000]  win=82.3%  states=9555  t=574s
    [ 5500/8000]  win=82.4%  states=9572  t=584s
    [ 5600/8000]  win=82.4%  states=9593  t=594s
    [ 5700/8000]  win=82.4%  states=9611  t=603s
    [ 5800/8000]  win=82.3%  states=9633  t=613s
    [ 5900/8000]  win=82.3%  states=9651  t=623s
    [ 6000/8000]  win=82.4%  states=9669  t=632s
    [ 6100/8000]  win=82.4%  states=9685  t=642s
    [ 6200/8000]  win=82.3%  states=9711  t=652s
    [ 6300/8000]  win=82.4%  states=9737  t=663s
    [ 6400/8000]  win=82.4%  states=9755  t=672s
    [ 6500/8000]  win=82.5%  states=9776  t=681s
    [ 6600/8000]  win=82.6%  states=9794  t=692s
    [ 6700/8000]  win=82.6%  states=9823  t=702s
    [ 6800/8000]  win=82.5%  states=9837  t=712s
    [ 6900/8000]  win=82.5%  states=9842  t=723s
    [ 7000/8000]  win=82.6%  states=9855  t=732s
    [ 7100/8000]  win=82.6%  states=9866  t=740s
    [ 7200/8000]  win=82.6%  states=9877  t=750s
    [ 7300/8000]  win=82.7%  states=9892  t=759s
    [ 7400/8000]  win=82.7%  states=9902  t=768s
    [ 7500/8000]  win=82.7%  states=9910  t=780s
    [ 7600/8000]  win=82.8%  states=9926  t=790s
    [ 7700/8000]  win=82.9%  states=9939  t=799s
    [ 7800/8000]  win=82.8%  states=9949  t=811s
    [ 7900/8000]  win=82.8%  states=9973  t=820s
    [ 8000/8000]  win=82.9%  states=9977  t=829s
  [TRAIN DONE]  win=82.9%  states=9977  time=828.7s
  [EVAL]  Running 500 greedy battles...
  [EVAL DONE]  win=96.0%  (480/500)

  Saved -> C:\Users\jonat\OneDrive\Documents\university\smt6\ai\q-learning-pokemon-battle\src\..\results\tuning_results.csv

>>> Config 3/10: lam_2.0

=================================================================
[lam_2.0]  alpha=0.1  gamma=0.95  lambda=2.0
  reward shaping: locked to defaults {'k_d': 40.0, 'k_t': 30.0, 'KO_bonus': 20.0, 'faint_penalty': 20.0, 'status_bonus': 5.0, 'time_penalty': 0.1, 'w_hp': 1.0, 'w_alive': 8.0, 'w_type': 2.0}
=================================================================
  [TRAIN] Starting 8000 battles...
    [  100/8000]  win=87.9%  states=1732  t=12s
    [  200/8000]  win=82.4%  states=2806  t=22s
